code,date,开盘指数,最高指数,最低指数,收盘指数,成份证券交易量,成份证券交易金额,指数回报率,ret_fwd_6m
905,2007-01-15,1881.47,1986.54,1881.47,1986.54,388126.31,2371042.5,,1.0100375
905,2007-01-16,2002.5699,2055.02,1990.87,2055.02,480744.19,3068905.0,3.4472001,0.998438
905,2007-01-17,2064.29,2093.8899,1992.54,2035.65,588328.88,3837519.3,-0.94260001,1.0587429
905,2007-01-18,2025.85,2085.3999,2002.66,2085.3999,509494.59,3220821.0,2.4439001,1.0474586
905,2007-01-19,2097.51,2159.6499,2097.51,2159.6399,579251.69,3695191.0,3.5599999,1.0156554
905,2007-01-22,2183.4399,2259.03,2183.4399,2258.99,635892.0,4092836.5,4.6002998,0.9493579
905,2007-01-23,2267.45,2268.6899,2175.6001,2261.79,610801.75,3960009.3,0.1239,0.8397553
905,2007-01-24,2260.71,2295.26,2236.5801,2283.7,510412.22,3392871.3,0.96869999,0.89902794
905,2007-01-25,2271.52,2271.52,2172.98,2174.24,481756.59,3217291.5,-4.7930999,1.027398
905,2007-01-26,2143.99,2196.28,2061.6599,2186.27,447594.06,2877832.8,0.55330002,1.0602852
905,2007-01-29,2201.5901,2261.24,2201.5901,2260.6001,456466.63,3078816.5,3.3999,0.97741306
905,2007-01-30,2271.47,2280.73,2230.6499,2255.9399,502476.88,3316310.0,-0.2061,0.9483809
905,2007-01-31,2251.3201,2258.7,2129.79,2142.8899,490469.25,3282862.3,-5.0112,1.0729297
905,2007-02-01,2120.01,2176.2,2080.1599,2165.4099,423388.44,2757862.0,1.0509,1.008308
905,2007-02-02,2170.03,2190.96,2124.3,2127.1001,386106.09,2575275.5,-1.7692,1.0355271
905,2007-02-05,2122.3701,2166.0901,2118.8701,2152.25,301341.09,2011947.9,1.1824,1.0611964
905,2007-02-06,2158.5,2198.6299,2148.1001,2198.24,308761.84,2071466.3,2.1368001,1.007424
905,2007-02-07,2209.6499,2237.9399,2208.3799,2237.9399,383270.5,2610153.3,1.806,0.98350275
