因子,名称,计算方式,复权情况,备注
6-month prior return,六个月动量因子,（当前价格-6个月前的价格）/6个月前价格,后复权价格,
11-month prior return,十一个月动量因子,（当前价格-11个月前的价格）/11个月前价格,后复权价格,
Return on equity,净资产收益率,净利润 / 净资产,不处理,
Beta3Y Covariance,三年数据计算的协方差beta,"Cov(个股收益率, 市场收益率) / Var(市场收益率)",后复权价格,
Beta3Y Linear Reg,三年数据计算的线性回归beta,个股收益率 = α + β × 市场收益率 + ε,后复权价格,
Price-to-Book,市净率,市值 / 净资产,后复权价格,
Earnings-to-Price,市盈率的倒数,每股收益 / 股价,前复权价格,
Price-to-Sales,市销率,市值 / 营业收入,后复权价格,
Market Capitalization,总市值,股价 × 流通股数量,前复权价格,
Enterprise Value,企业价值,市值 + 债务 + 少数股东权益 + 优先股 - 现金,前复权价格（指的是市值这部分）,
evebit,企业价值与息税前利润,企业价值 / （息税前利润）,前复权价格,
evebitda,企业价值与息税折旧摊销前利润的比率,企业价值 / 息税折旧摊销前利润,前复权价格,
12-month Lagged Return,两年前到一年的收益率,,后复权价格,
24-month Lagged Return,四年前到两年前的收益率,,后复权价格,
Operating Cash Flow to Price,经营活动现金流与市值的比率,经营活动现金流 / 市值,前复权价格,
Investment-to-Price,资本支出与市值的比率,资本支出 / 市值,后复权价格,
Earnings per Share,每股收益,（净利润 - 优先股股息）/ 流通股总数,不处理,
Current Ratio,流动比率,流动资产 / 流动负债,不处理,
Operating Cash Flow to Equity,经营活动现金流与净资产的比率,经营活动现金流 / 净资产,不处理,
Capex,资本支出占收入的比率,资本支出 / 营业收入,不处理,另一种说法是资本支出占总资产的比率
,,,,
,,,,
,,,,
gub,,,,
